,tokenized_pros,company
35762,"['great', 'place', 'work']",facebook
35441,"['ive', 'work', 'differ', 'compani', 'invest', 'bank', 'cpg', 'tech', 'compani', 'noth', 'beat', 'peopl', 'amaz', 'mention', 'wick', 'smart', 'youll', 'surround', 'talent', 'peopl', 'world', 'mission', 'chang', 'world']",facebook
6822,"['organ', 'innov', 'take', 'care', 'employ', 'offer', 'lot', 'train', 'learn', 'opportun', 'peopl', 'usual', 'collabor', 'interest', 'profession', 'inspir']",google
910,"['realli', 'great', 'innov', 'team']",google
4597,"['thing', 'youv', 'alreadi', 'read', 'food', 'dog', 'look', 'great', 'resum', 'your', 'readi', 'move', 'career', 'resum', 'context', 'almost', 'guarante', 'initi', 'interview', 'folk', 'curiou', 'would', 'ever', 'want', 'leav']",google
35575,"['awesom', 'peopl', 'open', 'cultur', 'high', 'level', 'trust', 'littl', 'bs', 'bureaucraci']",facebook
59436,"['lot', 'role', 'also', 'mean', 'get', 'round', 'experi', 'would', 'differ', 'role', 'across', 'differ', 'team', 'life', 'stay', 'interest']",microsoft
35042,"['mission', 'mean', 'smart', 'peopl', 'learn', 'big', 'challeng', 'tackl', 'everi', 'day']",facebook
3837,"['usual', 'good', 'stuff', 'free', 'food', 'good', 'comp']",google
61524,"['experi', 'guess', 'benefit', 'good']",microsoft
36225,"['collabor', 'environ', 'great', 'colleagu', 'great', 'pay', 'peopl', 'adult']",netflix
34753,"['awesom', 'colleagu', 'talent', 'driven', 'open', 'cultur', 'lot', 'structur', 'unstructur', 'learn', 'take', 'place', 'manag', 'usual', 'pretti', 'good', 'peopl', 'meaning', 'compani', 'mission', 'impact', 'individu', 'work', 'perk', 'fantast']",facebook
35004,"['open', 'cultur', 'secret', 'project', 'opportun', 'growth', 'access', 'manag', 'via', 'weekli', 'qa', 'lot', 'learn', 'develop', 'cours', 'encourag', 'work', 'passion', 'perk', 'benefit', 'chang', 'accord', 'employe', 'want']",facebook
35138,"['opinion', 'oper', 'polici', 'extrem', 'trust', 'respect', 'employe', 'give', 'us', 'mani', 'privileg', 'opportun', 'trust', 'us', 'screw', 'thing', 'abus', 'privileg', 'return', 'employe', 'respect', 'compani', 'back', 'addit', 'everyon', 'ridicul', 'smart', 'amaz', 'pleasur', 'work']",facebook
35791,"['give', 'opportun', 'build', 'career', 'way', 'would', 'like', 'amaz', 'work', 'cultur', 'support', 'help', 'colleagu']",facebook
64810,"['good', 'team', 'work', 'enviro']",microsoft
