,pros,company
34312,Managers have the best time of their lives. They keep engineers down through intense and demoralizing review cycles. No repercussions whatsoever. Helps to keep labor expenses low.,facebook
35055,"- Everybody is really smart and dedicated to their work - The perks are amazing - Morale is high, the company is on an awesome trajectory",facebook
6130,"Good people, good culture, challenging problems, good pay.",google
6005,"- Extremely steep learning curve as a fresh grad - Great responsibility right from the first month in a smaller market, where you can have a lot of ownership - Empowerment and no micromanagement - Of course PERKS - food, gym, travel, office, etc",google
6301,Smart people. Free food. Lots of interesting work.,google
34751,"it is a good position to work, but a little bit too busy for every day",facebook
64843,"Cozzy and tech, nice office",microsoft
34669,"Good culture, awesome co-workes, smart management",facebook
2770,Typical Tech Company with benefits,google
53926,Opportunity to learn and advance is encouraged,microsoft
36618,You will get to work with some exceptionally talented and intelligent people. People who do well at Netflix tend to drive their own career path.,netflix
35605,"Great benefits overall, employees are well considered.",facebook
35200,The culture is amazing. They will work hard to find you something to work on that fits your passions and lets you make a huge impact. No corporate BS. Great people.,facebook
35539,"An amazing environment where people choose what to work on. There is hardly any beauracracy, and you can be entirely focused on your impact. Everyone is friendly and happy to help, and people can just be themselves.",facebook
35761,"Autonomy, Inspiring Leadership, wonderful benefits, colleagues feel like family, mission driven company",facebook
55761,- Industry leading compensation package & benefits - Work on cutting edge technologies - Smart and adventurous people - Employees are encouraged to grow within the company - Increasingly embrace flexible workplace initiatives,microsoft
34357,1. best food 2. best ceo 3. best IT help,facebook
64454,"Good environment, passionate people, good opportunities",microsoft
34948,"- Incredibly transparent when it comes to company priorities and initiatives - Great access to leaders in the company. Nobody is too big to talk to. - Touches basically all of internet-connect humanity, which is nice. - Playing on the largest-scale chess board in the world against the top 4-5 tech companies",facebook
36293,High Salary // Free Lunches // Unlimited Vacation // Flexible Hours,netflix
5385,A very good company to work,google
58870,*Flexible work environment *Lots of opportunity *Good benefits,microsoft
34309,great company. very transparent culture. colleagues are very friendly they want to help you grow.,facebook
6476,Outstanding Offices and a lot of support shown by the employs and management.,google
1601,"Smart and hardworking people all around you, interesting projects. Unparalleled level of technical support for any possible needs. Fantastic benefits. In the end it's more of a lifestyle than just a workplace.",google
61830,"- Excellent benefit package with one of the best health care plans - Work life balance is valued highly - Opportunity to work in a wide vareity of product groups focussed on cutting edge technologies - Great location (Seattle, Bellevue, Sammamish) to live and raise a family",microsoft
35288,"There is a huge potential for impact. If you have a great idea and can convince others to join you, there is very little process stopping you from building awesome new stuff and shipping it to the world. Practically everyone I know, and everyone I meet, has used the software that I've written.  The company culture and values are amazing and everyone is totally on board with them. There is no politics or infighting and everyone is really on the same team trying to make facebook better.  Facebookers are extremely smart people and super passionate about their work. We aren't afraid to take on new risks or big challenges.  The technology stack is mind boggling. When I started at facebook a few years ago, every day I learned something that made my jaw drop. The same thing still happens to me on a regular basis years later.  Mark and Sheryl make a great pair of leaders that I have the utmost confidence in.  There are excellent learning and development programs/opportunities that help you progress in your career.  The benefits are obviously awesome too.",facebook
66651,Great opportunity to work with some of the smartest people on earth! Microsoft provides great benefits as well as the ability to change the world!,microsoft
34715,"- Internal tooling: Coming from Microsoft, the internal tooling here is nothing short of incredible. Everything just *works*, and it's mostly consistent throughout the entire company. Everyone uses the same code review process. Everyone uses the same build tools. Everyone uses the same check in process (per repository). Everyone uses the same employee feedback process. etc... There are also lots of internal services that are really helpful. Services for deployment, managing configuration, a/b testing, etc. Because everyone uses the same tools, everyone invests in them and they're well-documented, easy to learn, etc. - People: everyone I've worked with is really smart and happy to lend a helping hand. Haven't had any issues so far. - Work: I've enjoyed the kind of problems that I get to solve at Facebook much more than the kind of problems I got to solve at Microsoft. I worked on four different teams at Microsoft. The problems here are more challenging and require scalable, efficient solutions. - Culture: The culture here is fantastic. Internally, there is a lot of transparency. There isn't too much politics. You can make improvements on part of the codebase. There isn't much process to slow you down. There is a lot of individual freedom in what your prioritize and work on. - Work life balance: I've had great work life balance here. I typically work 35-40 hours a week, and I've not once stayed late for dinner. On-call is pretty light--much easier than on-call at Microsoft. This might vary by team. - Food: Really good food. Lots of healthy options (and unhealthy options if you want a cheat day). - Benefits: Pretty happy with the benefits. The transportation options are really good. The baby benefits are great.",facebook
